Sample ,Blank,P abs 1 ,P abs 2 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P
B8.07A.3,0.045699999,0.094599999,0.094700001,0.089900002,0.093066668,0.047366669,0.118605164,0.0407,0.146300003,0.150099993,0.153699994,0.15003333,0.55943332,0.50577896,4.264392396
B8.07A.4,0.046700001,0.097599998,0.100699998,0.095700003,0.098,0.051299999,0.147318153,0.038800001,0.105400003,0.103600003,0.1052,0.104733335,0.380133341,0.318143583,2.159568097
B8.07B.1,0.044300001,0.111400001,0.098499998,0.100400001,0.103433333,0.059133332,0.178941249,0.038800001,0.101099998,0.098700002,0.100599997,0.100133332,0.361733327,0.29888818,1.670314598
B8.07B.2,0.044799998,0.0836,0.079499997,0.081900001,0.081666666,0.036866667,0.052254856,0.0416,0.108199999,0.101599999,0.100299999,0.103366666,0.371866662,0.309492599,5.922752849
B8.07C.2,0.055,0.085199997,0.088600002,0.090000004,0.087933334,0.032933335,0.08872813,0.0429,0.171299994,0.164499998,0.173099995,0.169633329,0.635633316,0.585521384,6.599050226
B8.07C.2,0.048,0.093599997,0.093900003,0.090099998,0.092533333,0.044533332,0.115501047,0.043000001,0.157399997,0.159999996,0.158199996,0.15853333,0.591133318,0.538952645,4.666214349
B8.07D.2,0.055399999,0.102799997,0.095799997,0.135900006,0.1115,0.056100001,-0.096548286,0.045000002,0.1646,0.149399996,0.159500003,0.157833333,0.586333329,0.533929512,-5.53018115
B8.07D.3,0.057999998,0.131300002,0.106700003,0.1017,0.113233335,0.055233337,0.235979235,0.046100002,0.188299999,0.194399998,0.191200003,0.1913,0.719099997,0.67286831,2.851387792
B8.77A.4,0.0504,0.116800003,0.129999995,0.129899994,0.125566664,0.075166664,0.307761693,0.044199999,0.144500002,0.153099999,0.149000004,0.148866668,0.551266674,0.497232658,1.615641808
B8.77A.3,0.056699999,0.109399997,0.1109,0.116099998,0.112133332,0.055433333,0.229576992,0.045899998,0.158600003,0.165299997,0.176599994,0.166833331,0.621433326,0.570661257,2.485707528
B8.77B.1,0.049400002,0.113899998,0.111299999,0.114200003,0.113133334,0.063733332,0.235397205,0.0416,0.112000003,0.112400003,0.1127,0.112366669,0.407866675,0.347166201,1.474810205
B8.77B.4,0.045299999,0.101999998,0.094099998,0.108900003,0.101666667,0.056366667,0.168658892,0.0394,0.113700002,0.119900003,0.117600001,0.117066669,0.428866676,0.369142461,2.188692553
B8.77C.3,0.0568,0.178100005,0.112599999,0.117700003,0.136133336,0.079333335,0.369261852,0.044399999,0.206100002,0.201100007,0.217299998,0.208166669,0.788266676,0.745250449,2.018216733
B8.77C.2,0.052299999,0.096500002,0.096000001,0.095399998,0.095966667,0.043666668,0.135483745,0.048099998,0.190500006,0.198100001,0.189500004,0.192700004,0.722700016,0.676635689,4.994220436
B8.77D.3,0.053599998,0.112199999,0.115800001,0.1215,0.1165,0.062900002,0.254991883,0.0473,0.222399995,0.226199999,0.190200001,0.212933332,0.804433327,0.762168664,2.988991864
B8.77D.4,0.053199999,0.1197,0.1105,0.117600001,0.115933334,0.062733335,0.251693771,0.044100001,0.159799993,0.156399995,0.163599998,0.159933329,0.595633313,0.543661838,2.160013085
B9.07A.2,0.045699999,0.093500003,0.096199997,0.092,0.0939,0.048200001,0.123455327,0.041000001,0.102700002,0.111500002,0.103299998,0.105833334,0.382333336,0.55343722,4.482894595
B9.07A.1,0.043299999,0.093699999,0.0973,0.092699997,0.094566666,0.051266667,0.127335455,0.0396,0.0748,0.081100002,0.082199998,0.079366667,0.277866667,0.374191304,2.938626194
B9.07B.1,0.043699998,0.092799999,0.095700003,0.088500001,0.092333334,0.048633336,0.114337016,0.039999999,0.105099998,0.109399997,0.109700002,0.108066666,0.392266663,0.570481014,4.989469138
B9.07B.4,0.077299997,0.104400001,0.104500003,0.110399999,0.106433334,0.029133337,0.19640186,0.0493,0.1175,0.120200001,0.124799997,0.120833332,0.434033329,0.642145061,3.269546744
B9.07C.3,0.048999999,0.0933,0.091600001,0.094400004,0.093100001,0.044100003,0.118799174,0.0447,0.114100002,0.123599999,0.128900006,0.122200002,0.444100009,0.659417662,5.550692315
B9.07C.3,0.089400001,0.096000001,0.107000001,0.102499999,0.101833334,0.012433333,0.169628927,0.044799998,0.123300001,0.126900002,0.123300001,0.124500001,0.453200007,0.675031615,3.979460493
B9.07D.1,0.046399999,0.089000002,0.091799997,0.092299998,0.091033332,0.044633333,-0.163286607,0.044500001,0.104500003,0.091499999,0.096299998,0.097433334,0.345233334,0.489780324,-2.999513151
B9.07D.4,0.0484,0.095399998,0.095299996,0.0995,0.096733332,0.048333332,0.139945888,0.045600001,0.131999999,0.139200002,0.130400002,0.133866668,0.48986667,0.737944979,5.273073661
B9.77A.1,0.048500001,0.108599998,0.107900001,0.1206,0.112366666,0.063866665,0.230935047,0.0447,0.117399998,0.1285,0.128299996,0.124733331,0.454233325,0.676804601,2.930714104
B9.77A.3,0.0517,0.1197,0.110600002,0.116899997,0.115733333,0.064033333,0.250529725,0.046500001,0.1347,0.136899993,0.136399999,0.135999997,0.497499989,0.751042373,2.997817414
B9.77B.2,0.048799999,0.103600003,0.100500003,0.104500003,0.102866669,0.05406667,0.175643151,0.0436,0.111699998,0.107100002,0.113600001,0.110800001,0.399600002,0.583063697,3.31959256
B9.77B.4,0.0429,0.113499999,0.112499997,0.114299998,0.113433331,0.070533331,0.237143252,0.0385,0.075000003,0.077100001,0.077699997,0.0766,0.267900001,0.357090308,1.505799999
B9.77C.3,0.0447,0.100599997,0.096900001,0.097099997,0.098199998,0.053499998,0.148482184,0.0416,0.131300002,0.138300002,0.133599997,0.1344,0.496000001,0.748468665,5.040797786
B9.77C.2,0.044100001,0.098899998,0.100199997,0.096199997,0.098433331,0.054333329,0.149840225,0.0451,0.111199997,0.114399999,0.119800001,0.115133333,0.415433331,0.610230827,4.072543446
B9.77D.3,0.061999999,0.115599997,0.111900002,0.113300003,0.113600001,0.051600002,0.238113302,0.043900002,0.110799998,0.117899999,0.1175,0.115399999,0.417699994,0.614120011,2.579108372
B9.77D.3,0.048599999,0.113799997,0.109800003,0.110200003,0.111266668,0.062666668,0.224532833,0.0451,0.116099998,0.1184,0.122599997,0.119033332,0.431033327,0.636997599,2.836990879
